track,artist,date
Wonder,Shawn Mendes,2022-01-03T10:31
Fresh,Kool & The Gang,2022-01-03T10:27
Playing with fire,Kovic,2022-01-03T10:23
Meet me halfway,Black Eyed Peas,2022-01-03T10:20
The game,Milky Chance,2022-01-03T10:13
Don’t you know,Kungs feat. Jamie N. Commons,2022-01-03T10:07
Take you dancing,Jason Derulo,2022-01-03T10:04
Ur so f**king cool,Tones And I,2022-01-03T09:57
Ur so f**king cool,Tones And I,2022-01-03T09:57
1973,James Blunt,2022-01-03T09:53
Fake,Lola Young,2022-01-03T09:49
Treasure,Bruno Mars,2022-01-03T09:45
Wer wenn nicht wir,Wincent Weiss,2022-01-03T09:42
Go your own way,Fleetwood Mac,2022-01-03T09:35
Higher power,Coldplay,2022-01-03T09:31
Leave (get out),JoJo,2022-01-03T09:27
Too much,Matt Simons,2022-01-03T09:22
Mañana,Alvaro Soler feat. Cali Y El Dandee,2022-01-03T09:19
I can't live without your love and affection,Nelson,2022-01-03T09:15
Strip,Lena,2022-01-03T09:10
Can't stop the feeling!,Justin Timberlake,2022-01-03T09:07
Brooklyn,Glockenbach feat. ClockClock,2022-01-03T09:04
Limitless,Bon Jovi,2022-01-03T08:54
Love me again,John Newman,2022-01-03T08:51
Everytime I cry,Ava Max,2022-01-03T08:48
Feels like heaven,Fiction Factory,2022-01-03T08:45
Blurry eyes,Michael Patrick Kelly,2022-01-03T08:40
Zusammen,Die Fantastischen Vier feat. Clueso,2022-01-03T08:36
Some say,Nea,2022-01-03T08:33
Ride,Twenty One Pilots,2022-01-03T08:26
When you look at me,Christina Milian,2022-01-03T08:23
Cold heart,"Elton John, Dua Lipa",2022-01-03T08:20
7 years,Lukas Graham,2022-01-03T08:16
Don't be shy,Tiësto,2022-01-03T08:14
Lose somebody,Kygo | One Republic,2022-01-03T08:11
Believe,Cher,2022-01-03T08:06
Fingertips,Tom Gregory,2022-01-03T08:03
Are you lonely,Welshly Arms,2022-01-03T07:55
Black coffee,All Saints,2022-01-03T07:51
Shut up and dance,Walk The Moon,2022-01-03T07:48
Where are you now,Lost Frequencies X Calum Scott,2022-01-03T07:44
Hard out here,Lily Allen,2022-01-03T07:41
Watermelon sugar,Harry Styles,2022-01-03T07:37
This love,Maroon 5,2022-01-03T07:34
Still falling for you,Ellie Goulding,2022-01-03T07:27
Wellerman,Nathan Evans,2022-01-03T07:25
Titanium,David Guetta feat. Sia,2022-01-03T07:21
All we need is love,Stefanie Heinzmann feat. Jake Isaac,2022-01-03T07:17
Diamonds,Sam Smith,2022-01-03T07:13
I will dance (when I walk away),Katzenjammer,2022-01-03T07:07
Overpass graffiti,Ed Sheeran,2022-01-03T07:04
Only wanna be with you,Post Malone,2022-01-03T06:57
Only wanna be with you,Post Malone,2022-01-03T06:57
